2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4192] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4194] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4191] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Connection reset 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4195] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4193] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4196] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:17 WARN  - jmeter.protocol.http.proxy.Proxy: [4198] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Connection reset 
2016/01/25 08:42:18 WARN  - jmeter.protocol.http.proxy.Proxy: [4197] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Connection reset 
2016/01/25 08:42:18 WARN  - jmeter.protocol.http.proxy.Proxy: [4202] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:18 WARN  - jmeter.protocol.http.proxy.Proxy: [4200] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:18 WARN  - jmeter.protocol.http.proxy.Proxy: [4201] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Connection reset 
2016/01/25 08:42:18 WARN  - jmeter.protocol.http.proxy.Proxy: [4199] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Connection reset 
2016/01/25 08:42:18 WARN  - jmeter.protocol.http.proxy.Proxy: [4203] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Connection reset 
2016/01/25 08:42:26 WARN  - jmeter.protocol.http.proxy.Proxy: [4205] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
2016/01/25 08:42:26 WARN  - jmeter.protocol.http.proxy.Proxy: [4206] Problem with SSL certificate for 'y.wpimg.pl'? Ensure browser is set to accept the JMeter proxy cert: Received fatal alert: unknown_ca 
